Listening on COM7 @ 460800...
Press Ctrl+C to stop

[AUDIO] seq=20 | pcg[0]=    3596 pcg[31]=     441 | total=111 | crc_err=0
[BIO] seq=20 | ir[0]=     469 ecg[0]=   169 | total=111 | crc_err=0
[AUDIO] seq=21 | pcg[0]=   -7894 pcg[31]=   -3496 | total=112 | crc_err=0
[BIO] seq=21 | ir[0]=     508 ecg[0]=  2952 | total=112 | crc_err=0
[AUDIO] seq=22 | pcg[0]=   -3541 pcg[31]=    1417 | total=113 | crc_err=0
[BIO] seq=22 | ir[0]=     276 ecg[0]=  3264 | total=113 | crc_err=0
[AUDIO] seq=23 | pcg[0]=    4693 pcg[31]=    4719 | total=114 | crc_err=0
[BIO] seq=23 | ir[0]=     229 ecg[0]=     0 | total=114 | crc_err=0
[AUDIO] seq=24 | pcg[0]=    2207 pcg[31]=    -886 | total=115 | crc_err=0
[BIO] seq=24 | ir[0]=     271 ecg[0]=  3904 | total=115 | crc_err=0
[AUDIO] seq=25 | pcg[0]=   -4908 pcg[31]=   -4499 | total=116 | crc_err=0
[BIO] seq=25 | ir[0]=     535 ecg[0]=    61 | total=116 | crc_err=0
[AUDIO] seq=26 | pcg[0]=   -6081 pcg[31]=     689 | total=117 | crc_err=0
[BIO] seq=26 | ir[0]=     535 ecg[0]=  3056 | total=117 | crc_err=0
[AUDIO] seq=27 | pcg[0]=    1118 pcg[31]=    4055 | total=118 | crc_err=0
[BIO] seq=27 | ir[0]=     341 ecg[0]=  3252 | total=118 | crc_err=0
[AUDIO] seq=28 | pcg[0]=    7178 pcg[31]=    1636 | total=119 | crc_err=0
[BIO] seq=28 | ir[0]=     161 ecg[0]=     0 | total=119 | crc_err=0
[AUDIO] seq=29 | pcg[0]=   -2287 pcg[31]=   -3571 | total=120 | crc_err=0
[BIO] seq=29 | ir[0]=     269 ecg[0]=  3936 | total=120 | crc_err=0
[AUDIO] seq=30 | pcg[0]=   -5595 pcg[31]=      39 | total=121 | crc_err=0
[BIO] seq=30 | ir[0]=     276 ecg[0]=    16 | total=121 | crc_err=0
[AUDIO] seq=31 | pcg[0]=   -2410 pcg[31]=     759 | total=122 | crc_err=0
[BIO] seq=31 | ir[0]=     308 ecg[0]=  3092 | total=122 | crc_err=0
[AUDIO] seq=32 | pcg[0]=    4601 pcg[31]=    4721 | total=123 | crc_err=0
[BIO] seq=32 | ir[0]=     390 ecg[0]=  3160 | total=123 | crc_err=0
[AUDIO] seq=33 | pcg[0]=    2475 pcg[31]=   -3513 | total=124 | crc_err=0
[BIO] seq=33 | ir[0]=     511 ecg[0]=     0 | total=124 | crc_err=0
[AUDIO] seq=34 | pcg[0]=   -1505 pcg[31]=   -4429 | total=125 | crc_err=0
[BIO] seq=34 | ir[0]=     282 ecg[0]=  3920 | total=125 | crc_err=0
[AUDIO] seq=35 | pcg[0]=   -1271 pcg[31]=    2759 | total=126 | crc_err=0
[BIO] seq=35 | ir[0]=     282 ecg[0]=     0 | total=126 | crc_err=0
[AUDIO] seq=36 | pcg[0]=    2069 pcg[31]=    7470 | total=127 | crc_err=0
[BIO] seq=36 | ir[0]=     295 ecg[0]=  3156 | total=127 | crc_err=0
[AUDIO] seq=37 | pcg[0]=    -326 pcg[31]=    -421 | total=128 | crc_err=0
[BIO] seq=37 | ir[0]=     362 ecg[0]=  3088 | total=128 | crc_err=0
[AUDIO] seq=38 | pcg[0]=   -5305 pcg[31]=   -4461 | total=129 | crc_err=0
[BIO] seq=38 | ir[0]=     486 ecg[0]=     0 | total=129 | crc_err=0
[AUDIO] seq=39 | pcg[0]=    2347 pcg[31]=   -1466 | total=130 | crc_err=0
[BIO] seq=39 | ir[0]=     426 ecg[0]=  3928 | total=130 | crc_err=0
[AUDIO] seq=40 | pcg[0]=    6057 pcg[31]=    3456 | total=131 | crc_err=0
[BIO] seq=40 | ir[0]=     239 ecg[0]=     0 | total=131 | crc_err=0
[AUDIO] seq=41 | pcg[0]=   -1277 pcg[31]=   -1136 | total=132 | crc_err=0
[BIO] seq=41 | ir[0]=     239 ecg[0]=  3208 | total=132 | crc_err=0
[AUDIO] seq=42 | pcg[0]=   -6302 pcg[31]=   -1468 | total=133 | crc_err=0
[BIO] seq=42 | ir[0]=     286 ecg[0]=  3008 | total=133 | crc_err=0
[AUDIO] seq=43 | pcg[0]=   -2114 pcg[31]=    5885 | total=134 | crc_err=0
[BIO] seq=43 | ir[0]=     499 ecg[0]=     0 | total=134 | crc_err=0
[AUDIO] seq=44 | pcg[0]=    2044 pcg[31]=    4452 | total=135 | crc_err=0
[BIO] seq=44 | ir[0]=     499 ecg[0]=  3912 | total=135 | crc_err=0
[AUDIO] seq=45 | pcg[0]=    2622 pcg[31]=   -5406 | total=136 | crc_err=0
[BIO] seq=45 | ir[0]=     238 ecg[0]=     0 | total=136 | crc_err=0
[AUDIO] seq=46 | pcg[0]=   -2208 pcg[31]=   -6653 | total=137 | crc_err=0
[BIO] seq=46 | ir[0]=     248 ecg[0]=  3264 | total=137 | crc_err=0
[AUDIO] seq=47 | pcg[0]=    -804 pcg[31]=     -98 | total=138 | crc_err=0
[BIO] seq=47 | ir[0]=     307 ecg[0]=  2896 | total=138 | crc_err=0
[AUDIO] seq=48 | pcg[0]=    2779 pcg[31]=   -5283 | total=139 | crc_err=0
[BIO] seq=48 | ir[0]=     324 ecg[0]=     0 | total=139 | crc_err=0
[AUDIO] seq=49 | pcg[0]=   -2448 pcg[31]=    4912 | total=140 | crc_err=0
[BIO] seq=49 | ir[0]=     329 ecg[0]=  3936 | total=140 | crc_err=0
[AUDIO] seq=50 | pcg[0]=   -4059 pcg[31]=   -5267 | total=141 | crc_err=0
[BIO] seq=50 | ir[0]=     470 ecg[0]=     0 | total=141 | crc_err=0
[AUDIO] seq=51 | pcg[0]=   -2516 pcg[31]=   -1398 | total=142 | crc_err=0
[BIO] seq=51 | ir[0]=     418 ecg[0]=  3328 | total=142 | crc_err=0
[AUDIO] seq=52 | pcg[0]=    3107 pcg[31]=    2946 | total=143 | crc_err=0
[BIO] seq=52 | ir[0]=     307 ecg[0]=  2792 | total=143 | crc_err=0
[AUDIO] seq=53 | pcg[0]=    3599 pcg[31]=   -1638 | total=144 | crc_err=0
[BIO] seq=53 | ir[0]=     307 ecg[0]=     0 | total=144 | crc_err=0
[AUDIO] seq=54 | pcg[0]=    -188 pcg[31]=   -2860 | total=145 | crc_err=0
[BIO] seq=54 | ir[0]=     339 ecg[0]=  3952 | total=145 | crc_err=0
[AUDIO] seq=55 | pcg[0]=   -2652 pcg[31]=   -1988 | total=146 | crc_err=0
[BIO] seq=55 | ir[0]=     486 ecg[0]=     0 | total=146 | crc_err=0
[AUDIO] seq=56 | pcg[0]=     465 pcg[31]=    3665 | total=147 | crc_err=0
[BIO] seq=56 | ir[0]=     472 ecg[0]=  3344 | total=147 | crc_err=0
[AUDIO] seq=57 | pcg[0]=    2857 pcg[31]=      17 | total=148 | crc_err=0
[BIO] seq=57 | ir[0]=     215 ecg[0]=  2852 | total=148 | crc_err=0
[AUDIO] seq=58 | pcg[0]=    2525 pcg[31]=      59 | total=149 | crc_err=0
[BIO] seq=58 | ir[0]=     209 ecg[0]=     0 | total=149 | crc_err=0
[AUDIO] seq=59 | pcg[0]=    -711 pcg[31]=   -1396 | total=150 | crc_err=0
[BIO] seq=59 | ir[0]=     304 ecg[0]=  4008 | total=150 | crc_err=0
