ECG,RED,IR,PCG
2116,103721,73967,0
2132,103627,73946,0
2100,103672,74025,0
2108,103686,73976,0
2114,103685,73940,0
2116,103650,74006,0
2073,103708,73962,0
2120,103650,74033,0
2116,103626,73974,0
2120,103757,73947,0
2120,103677,73978,0
2124,103693,73981,0
2132,103661,73949,0
2132,103672,74015,0
2136,103741,73946,0
2142,103680,73981,0
2144,103616,73978,0
2144,103686,73974,0
2137,103678,73987,0
2110,103701,73939,0
2144,103685,73938,0
2112,103666,74015,0
2108,103687,73950,0
2113,103702,73906,0
2104,103655,73977,0
2129,103710,73957,0
2122,103654,74010,0
2128,103613,73952,0
2124,103716,73927,0
2126,103657,73945,0
2124,103677,73979,0
2124,103668,73966,0
2216,103635,73929,0
2168,103678,73975,0
2136,103713,73923,0
2140,103653,73978,0
2136,103598,73960,0
2149,103698,73940,0
2146,103670,73948,0
2150,103656,73904,0
2144,103658,73926,0
2132,103629,73966,0
2142,103690,73922,0
2104,103663,73907,0
2122,103611,73929,0
2120,103694,73945,0
2120,103643,73959,0
2116,103647,73907,0
2122,103684,73878,0
2125,103616,73954,0
2128,103654,73928,0
2121,103638,73865,0
2120,103657,73944,0
2112,103662,73875,0
2116,103633,73920,0
2118,103570,73916,0
2112,103686,73889,0
2144,103641,73904,0
2144,103630,73870,0
2146,103626,73890,0
2128,103622,73838,0
2132,103638,73845,0
2132,103612,73836,0
2124,103639,73866,0
2128,103618,73887,0
2126,103603,73840,0
2092,103620,73907,0
2120,103661,73839,0
2120,103614,73892,0
2128,103558,73888,0
2130,103639,73845,0
2134,103618,73871,0
2137,103644,73823,0
2144,103597,73844,0
2136,103585,73898,0
2144,103645,73848,0
2148,103612,73817,0
2112,103565,73873,0
2144,103633,73885,0
2144,103594,73871,0
2152,103603,73827,0
2138,103648,73827,0
2140,103584,73859,0
2138,103611,73866,0
2114,103611,73824,0
2104,103625,73869,0
2106,103632,73810,0
2114,103586,73804,0
2142,103553,73893,0
2142,103627,73824,0
2144,103589,73815,0
2136,103533,73834,0
2146,103622,73838,0
2140,103587,73873,0
2140,103601,73815,0
2140,103607,73806,0
2140,103555,73811,0
2140,103631,73818,0
2156,103560,73809,0
2140,103541,73818,0
2158,103634,73784,0
2120,103564,73799,0
2114,103575,73825,0
2104,103570,73794,0
2112,103601,73829,0
2112,103593,73782,0
2108,103568,73768,0
2104,103550,73865,0
2112,103603,73776,0
2112,103579,73763,0
2108,103537,73814,0
2116,103613,73789,0
2105,103549,73833,0
2124,103522,73785,0
2090,103625,73787,0
2108,103549,73813,0
2080,103576,73807,0
2060,103553,73782,0
2066,103580,73810,0
2080,103585,73776,0
2102,103574,73740,0
2100,103540,73845,0
2092,103593,73777,0
2096,103581,73765,0
2098,103534,73740,0
2088,103562,73812,0
2100,103545,73779,0
2100,103570,73786,0
2072,103587,73787,0
2106,103562,73769,0
2108,103563,73789,0
2129,103552,73822,0
2118,103611,73770,0
2128,103582,73733,0
2114,103546,73797,0
2120,103573,73804,0
2120,103547,73745,0
2116,103578,73824,0
2120,103587,73769,0
2116,103550,73726,0
2116,103528,73831,0
2114,103581,73776,0
2110,103572,73785,0
2108,103516,73792,0
2116,103612,73782,0
2108,103550,73825,0
2108,103533,73775,0
2104,103606,73780,0
2073,103545,73791,0
2100,103578,73803,0
2088,103543,73771,0
2085,103563,73831,0
2089,103615,73762,0
2132,103574,73718,0
2136,103546,73849,0
2140,103574,73786,0
2137,103588,73813,0
2138,103603,73812,0
2136,103566,73772,0
2136,103572,73833,0
2144,103558,73788,0
2136,103541,73803,0
2130,103603,73770,0
2122,103553,73823,0
2124,103513,73792,0
2088,103598,73803,0
2116,103595,73817,0
2140,103590,73761,0
2130,103575,73771,0
2126,103560,73831,0
2134,103625,73789,0
2137,103590,73742,0
2136,103536,73817,0
2150,103603,73822,0
2140,103542,73812,0
2148,103533,73790,0
2132,103625,73773,0
2148,103568,73785,0
2152,103571,73799,0
2146,103558,73789,0
2114,103602,73806,0
2102,103595,73762,0
