ECG,RED,IR,PCG
2318,108377,75356,0
2340,108323,75354,0
2332,108380,75350,0
2336,108370,75397,0
2332,108393,75359,0
2340,108390,75372,0
2336,108352,75341,0
2360,108386,75335,0
2353,108371,75399,0
2341,108398,75353,0
2308,108382,75370,0
2336,108369,75326,0
2324,108342,75417,0
2628,108382,75406,0
2685,108426,75390,0
2722,108391,75402,0
2808,108393,75365,0
2848,108371,75369,0
2896,108336,75396,0
2924,108406,75381,0
2948,108386,75443,0
2992,108416,75396,0
3000,108368,75398,0
3024,108352,75378,0
3029,108399,75353,0
3024,108387,75433,0
2992,108406,75391,0
2960,108397,75417,0
2920,108421,75393,0
2868,108376,75346,0
2832,108382,75444,0
2788,108420,75393,0
2740,108386,75422,0
2688,108417,75391,0
2629,108384,75366,0
2572,108336,75428,0
2490,108418,75395,0
2116,108386,75418,0
2074,108386,75418,0
2036,108386,75418,0
2056,108386,75418,0
2047,108386,75418,0
2036,108400,75405,0
2046,108400,75405,0
2032,108400,75405,0
2032,108400,75405,0
1922,108400,75405,0
2033,108400,75405,0
2032,108400,75405,0
2044,108400,75426,0
2020,108332,75410,0
2034,108332,75410,0
2030,108332,75410,0
2024,108332,75410,0
2034,108332,75410,0
2045,108332,75410,0
2046,108332,75408,0
2037,108400,75393,0
2064,108400,75393,0
2113,108400,75393,0
2106,108400,75393,0
2100,108400,75393,0
2153,108400,75393,0
2129,108400,75393,0
2258,108382,75436,0
2162,108382,75436,0
2184,108382,75436,0
2168,108382,75436,0
2180,108382,75436,0
2152,108438,75436,0
2272,108434,75448,0
2320,108396,75470,0
2324,108388,75437,0
2336,108397,75426,0
2320,108406,75499,0
2384,108440,75464,0
2348,108385,75481,0
2344,108413,75434,0
2338,108378,75411,0
2340,108385,75515,0
2336,108446,75446,0
2340,108408,75480,0
2336,108428,75457,0
2316,108400,75413,0
2292,108357,75513,0
2292,108432,75454,0
2348,108388,75484,0
2332,108431,75455,0
2266,108395,75445,0
2308,108351,75467,0
2292,108426,75466,0
2284,108392,75491,0
2308,108419,75460,0
2282,108390,75509,0
2256,108393,75457,0
2240,108396,75425,0
2120,108407,75488,0
2240,108406,75471,0
2236,108406,75471,0
2244,108406,75471,0
2284,108406,75471,0
2268,108406,75471,0
2252,108406,75471,0
2256,108406,75496,0
2260,108392,75440,0
2296,108392,75440,0
2296,108392,75440,0
2290,108392,75440,0
2304,108392,75440,0
2306,108392,75440,0
2296,108392,75440,0
2300,108407,75485,0
2320,108407,75485,0
2284,108407,75485,0
2301,108407,75485,0
2352,108407,75485,0
2284,108407,75485,0
2276,108407,75485,0
2288,108396,75476,0
2336,108396,75476,0
2344,108396,75476,0
2298,108396,75476,0
2322,108396,75476,0
2370,108396,75476,0
2352,108396,75476,0
2352,108396,75507,0
2352,108433,75469,0
2348,108433,75469,0
2312,108438,75462,0
2316,108422,75506,0
2344,108422,75533,0
2356,108458,75501,0
2356,108435,75533,0
2352,108434,75485,0
2337,108409,75473,0
2339,108407,75532,0
2330,108453,75487,0
2332,108420,75507,0
2336,108440,75484,0
2344,108384,75475,0
2336,108367,75502,0
2312,108453,75462,0
2336,108399,75521,0
2332,108434,75462,0
2328,108378,75477,0
2325,108390,75447,0
2324,108386,75413,0
2328,108389,75494,0
2320,108424,75442,0
2324,108368,75473,0
2322,108404,75445,0
2356,108377,75400,0
2352,108334,75452,0
2312,108424,75436,0
2293,108352,75453,0
2320,108296,75414,0
2302,108296,75414,0
2308,108296,75232,0
2316,108333,75414,0
2308,108333,75414,0
2308,108333,75414,0
2302,108333,75414,0
2304,108333,75414,0
2312,108333,75414,0
2292,108333,75414,0
2302,108320,75415,0
2296,108320,75415,0
2328,108320,75415,0
2312,108320,75415,0
2312,108320,75415,0
2316,108320,75415,0
2316,108320,75415,0
2320,108344,75437,0
2320,108344,75437,0
2328,108344,75437,0
2324,108344,75437,0
2332,108344,75437,0
2320,108344,75437,0
2352,108344,75437,0
2612,108344,75277,0
2660,108347,75364,0
2350,108347,75364,0
2328,108347,75364,0
2360,108347,75364,0
2360,108347,75364,0
2352,108347,75364,0
2360,108347,75290,0
2328,108155,75142,0
2314,108183,75264,0
2328,108284,75246,0
2322,108230,75277,0
2324,108272,75266,0
2320,108243,75264,0
2313,108187,75243,0
2302,108231,75215,0
2312,108226,75270,0
2296,108249,75246,0
2289,108212,75259,0
2328,108230,75209,0
2304,108197,75177,0
2288,108165,75248,0
2292,108253,75194,0
2281,108193,75247,0
2300,108234,75202,0
2300,108198,75205,0
2302,108150,75189,0
2304,108214,75172,0
2312,108182,75219,0
2306,108237,75186,0
2308,108162,75204,0
2328,108184,75183,0
2300,108181,75143,0
2308,108157,75216,0
2304,108221,75170,0
2288,108188,75189,0
2288,108194,75162,0
2312,108183,75118,0
2324,108135,75174,0
2592,108204,75169,0
2328,108133,75096,0
2314,108119,75178,0
2296,108185,75119,0
2300,108127,75127,0
2300,108133,75133,0
2290,108091,75139,0
2328,108174,75113,0
2321,108123,75168,0
2324,108174,75123,0
2336,108124,75162,0
2320,108154,75119,0
2325,108132,75070,0
2332,108127,75178,0
2328,108177,75114,0
2336,108135,75145,0
2340,108159,75112,0
2336,108135,75116,0
2337,108088,75112,0
2354,108177,75111,0
2344,108126,75159,0
2340,108171,75125,0
2344,108166,75137,0
2340,108089,75136,0
2320,108140,75103,0
2325,108143,75155,0
2328,108193,75128,0
2306,108154,75155,0
2256,108146,75156,0
2252,108146,75156,0
2249,108146,75156,0
2252,108146,75156,0
2264,108146,75156,0
2266,108146,75140,0
2268,108170,75138,0
2272,108170,75138,0
2274,108170,75138,0
2276,108170,75138,0
2286,108170,75138,0
2278,108170,75138,0
2302,108170,75138,0
2280,108151,75133,0
2292,108151,75133,0
2276,108151,75133,0
2274,108151,75133,0
2288,108151,75133,0
2285,108151,75133,0
2288,108151,75133,0
2292,108157,75148,0
2301,108157,75148,0
2345,108157,75148,0
2352,108157,75148,0
2344,108157,75148,0
2384,108157,75148,0
2353,108157,75148,0
2517,108157,75135,0
2372,108167,75141,0
2412,108167,75141,0
2370,108167,75141,0
2368,108167,75141,0
2320,108177,75196,0
2348,108150,75222,0
2368,108224,75184,0
2352,108165,75220,0
2368,108211,75160,0
2356,108170,75133,0
2361,108119,75202,0
2376,108219,75191,0
2376,108180,75207,0
2330,108201,75183,0
2368,108173,75192,0
2360,108142,75187,0
2356,108216,75169,0
2348,108178,75212,0
2348,108211,75169,0
2348,108190,75203,0
2344,108182,75164,0
2340,108180,75120,0
2392,108174,75238,0
2332,108208,75172,0
2346,108173,75202,0
2336,108212,75195,0
2320,108175,75181,0
2328,108125,75204,0
2324,108224,75180,0
2304,108182,75223,0
2276,108202,75194,0
2262,108191,75250,0
2264,108223,75203,0
2256,108223,75203,0
2264,108223,75203,0
2268,108223,75203,0
2274,108223,75203,0
2282,108223,75203,0
2300,108223,75203,0
2298,108115,75181,0
2324,108115,75181,0
2312,108115,75181,0
2314,108115,75181,0
2332,108115,75181,0
2324,108115,75181,0
2324,108115,75181,0
2321,108215,75203,0
2328,108215,75203,0
2322,108215,75203,0
2336,108215,75203,0
2316,108215,75203,0
2340,108215,75203,0
2332,108215,75203,0
2344,108215,75217,0
2392,108192,75216,0
2368,108192,75216,0
2418,108192,75216,0
2372,108192,75216,0
2354,108192,75216,0
2384,108192,75216,0
2372,108192,75216,0
2370,108202,75190,0
2364,108202,75190,0
2330,108104,75193,0
2352,108087,75167,0
2376,108168,75158,0
2384,108140,75181,0
2392,108174,75145,0
2388,108130,75159,0
2378,108067,75169,0
2394,108151,75137,0
2384,108113,75200,0
2384,108174,75154,0
