2016,59963,52748,9
2040,59973,52751,-38
2049,59978,52751,-32
2004,59978,52750,-29
2104,59974,52750,15
2092,59968,52752,13
2064,59972,52746,16
2060,59979,52753,-19
2045,59987,52755,-9
2016,60004,52755,-41
1997,60016,52766,-44
3848,60029,52772,0
2112,60044,52774,33
1906,60066,52779,37
1954,60085,52781,33
1898,60101,52786,-10
1893,60114,52795,-6
1996,60128,52796,-42
1992,60140,52804,-45
1936,60142,52804,0
2016,60107,52792,39
2010,60016,52762,39
2008,59901,52725,16
1980,59796,52695,-36
1972,59740,52676,-25
2044,59728,52672,-50
2088,59730,52672,-62
2024,59747,52679,4
2048,59755,52671,42
2042,59764,52675,39
1872,59774,52687,3
2040,59788,52684,-38
2014,59796,52685,-26
2100,59814,52695,-32
2090,59829,52695,-30
2088,59829,52700,18
2208,59824,52698,50
2092,59827,52697,42
2128,59836,52696,16
2016,59851,52703,-42
2013,59866,52710,-27
3232,59881,52714,-36
3326,59904,52719,-45
2306,59920,52727,2
1980,59940,52732,26
1988,59964,52741,33
2000,59983,52749,10
1944,60005,52748,-23
1952,60025,52757,-29
2024,60043,52763,-39
2044,60035,52760,-49
2046,59991,52748,19
2036,59890,52716,40
2036,59783,52680,57
2088,59701,52655,-2
2024,59662,52643,-41
2033,59661,52644,-48
2104,59679,52650,-4
2092,59692,52651,-15
2068,59701,52656,34
2068,59711,52654,0
2067,59732,52661,19
2124,59747,52666,-5
2044,59769,52673,-36
2052,59777,52674,-40
2160,59785,52675,3
2153,59787,52678,-10
2116,59782,52671,31
2096,59799,52684,-3
2082,59809,52684,7
2140,59833,52695,-32
2186,59859,52702,-31
2244,59888,52711,-33
2684,59921,52722,12
2604,59946,52734,7
2010,59988,52747,7
1938,60007,52751,-3
1940,60031,52761,9
2000,60048,52760,-18
2024,60067,52770,-9
2021,60094,52778,-22
2048,60101,52780,12
2148,60057,52766,5
2076,59969,52735,15
2026,59877,52708,6
2020,59816,52690,18
2072,59790,52684,-19
2020,59797,52686,4
2093,59818,52689,-10
2064,59832,52694,20
2066,59849,52700,10
2084,59870,52703,16
1904,59892,52710,7
2064,59915,52720,6
2092,59923,52720,-23
2120,59933,52724,-21
2128,59935,52726,-33
2096,59935,52722,9
2088,59922,52720,9
2186,59921,52721,1
2068,59942,52727,-20
2076,59968,52733,-3
2112,59984,52739,-27
2956,59993,52746,0
2876,60011,52743,-17
2025,60022,52750,25
1988,60040,52761,20
2016,60054,52761,11
1948,60072,52771,-38
1958,60088,52775,-24
2046,60111,52785,-21
2046,60116,52782,-5
2081,60107,52779,-12
2056,60056,52768,31
2040,59976,52743,30
2098,59892,52715,-7
2024,59837,52698,-20
2032,59821,52693,-11
2080,59828,52698,-2
2076,59844,52702,24
2082,59853,52704,19
2084,59861,52703,41
2072,59872,52707,49
2112,59881,52710,-1
2056,59896,52717,-27
2064,59900,52715,-30
2072,59902,52720,-8
2140,59897,52710,30
2148,59902,52716,25
2053,59908,52715,29
2049,59912,52720,42
2112,59924,52723,-26
2040,59938,52726,-45
2050,59963,52733,-51
2708,59975,52748,-10
2364,59984,52743,37
2344,60006,52754,33
1940,60027,52750,19
1812,60050,52768,38
1988,60084,52777,-8
1940,60103,52782,-21
1942,60123,52794,-37
1970,60138,52792,-31
2008,60137,52794,62
2117,60107,52788,63
1996,60042,52765,24
1985,59962,52744,21
2028,59897,52721,39
2024,59876,52714,-9
2033,59884,52717,-37
2018,59898,52721,-26
2080,59911,52723,-27
2088,59923,52730,40
2024,59936,52729,18
2032,59948,52733,0
1900,59953,52733,33
2044,59965,52741,0
2025,59968,52740,-7
2052,59977,52737,-41
2128,59973,52743,-24
2124,59974,52741,-42
2156,59972,52735,23
2064,59989,52741,22
2106,60005,52745,18
