RED,IR
26115,30171
26117,30182
26125,30186
26119,30180
26121,30188
26130,30189
26116,30185
26125,30184
26114,30177
26113,30164
26104,30134
26093,30118
26084,30101
26082,30080
26074,30066
26071,30054
26075,30051
26073,30050
26068,30052
26075,30057
26078,30054
26077,30059
26076,30066
26086,30075
26083,30070
26077,30078
26083,30076
26080,30074
26086,30076
26080,30068
26071,30069
26085,30076
26085,30074
26079,30076
26092,30075
26085,30080
26090,30084
26094,30088
26092,30087
26087,30088
26090,30095
26089,30092
26089,30089
26087,30089
26085,30091
26087,30086
26081,30089
26086,30095
26088,30088
26088,30092
26089,30095
26086,30088
26090,30099
26091,30096
26088,30094
26091,30110
26099,30109
26101,30111
26096,30110
26095,30109
26100,30115
26102,30123
26101,30126
26098,30117
26101,30131
26106,30128
26101,30123
26106,30132
26108,30135
26104,30126
26104,30142
26112,30138
26101,30135
26114,30149
26112,30140
26109,30136
26112,30151
26110,30155
26110,30158
26109,30160
26116,30162
26116,30161
26112,30162
26115,30166
26119,30168
26114,30173
26120,30173
26114,30178
26125,30183
26117,30175
26126,30188
26123,30185
26121,30181
26123,30196
26118,30192
26128,30194
26121,30194
26125,30208
26129,30204
26127,30208
26137,30215
26128,30211
26135,30217
26134,30216
26137,30219
26135,30225
26138,30219
26127,30203
26122,30194
26120,30167
26100,30145
26099,30125
26088,30104
26081,30095
26082,30075
26077,30064
26077,30069
26081,30067
26077,30063
26083,30074
26089,30082
26083,30079
26094,30096
26089,30096
26091,30089
26091,30098
26091,30097
26088,30085
26085,30087
26091,30091
26096,30090
26084,30087
26087,30087
26087,30091
26092,30093
26089,30094
26089,30104
26097,30104
26092,30103
26097,30107
26094,30103
26093,30106
26093,30103
26092,30110
26095,30099
26089,30108
26100,30101
26095,30105
26093,30101
26097,30110
26098,30109
26095,30101
26097,30111
26102,30115
26097,30105
26102,30120
26100,30120
26095,30118
26103,30122
26103,30119
26094,30119
26106,30132
26106,30123
26098,30129
26100,30136
26109,30135
26100,30129
26109,30142
26112,30141
26107,30138
26104,30143
26111,30150
26115,30148
26105,30143
26111,30156
26108,30143
26109,30156
26110,30153
26103,30155
26103,30157
26119,30167
26110,30154
26116,30166
26121,30164
26112,30167
26112,30173
26123,30173
26113,30172
26122,30180
26126,30185
26116,30181
26122,30188
26121,30185
26121,30189
26120,30188
26120,30202
26126,30196
26122,30190
26126,30211
26129,30206
26128,30207
26134,30211
26131,30214
26132,30217
26134,30210
26128,30213
26130,30216
26129,30200
26117,30182
26108,30160
26097,30131
26089,30114
26085,30093
26080,30081
26076,30068
26072,30054
26068,30055
26079,30063
26070,30052
26071,30065
26077,30070
26082,30080
26078,30083
26086,30088
26089,30089
26085,30092
26084,30095
26082,30088
26078,30085
26082,30093
26080,30081
26079,30083
26078,30086
26087,30096
26091,30092
26090,30097
26090,30104
26087,30104
26093,30106
26096,30107
26090,30102
26086,30104
26089,30100
26094,30098
26088,30093
26085,30099
26094,30098
26087,30090
26090,30099
26092,30098
26089,30102
26094,30111
26089,30100
26095,30114
26097,30113
26094,30112
26093,30116
26092,30116
26092,30118
26098,30125
26102,30124
26093,30123
26096,30131
26099,30129
26100,30128
26098,30136
26099,30134
26099,30138
26098,30132
26102,30138
26099,30143
26106,30147
26103,30146
26106,30146
26104,30154
26110,30154
26104,30157
26108,30156
26104,30159
26109,30165
26111,30165
26108,30162
26109,30169
26113,30174
26118,30175
26113,30173
26115,30179
26113,30181
26115,30186
26117,30189
26120,30185
26122,30192
26117,30195
26124,30193
26119,30197
26121,30200
26122,30202
26126,30205
26123,30209
26126,30220
26129,30219
26134,30215
26128,30218
26130,30221
26124,30212
26117,30201
26111,30174
26103,30153
26094,30128
26083,30103
26080,30086
26073,30078
26071,30069
26072,30061
26071,30071
26072,30064
26073,30066
26077,30069
26083,30078
26082,30083
26083,30092
26089,30098
26083,30096
26089,30108
26090,30103
26087,30100
26087,30093
26080,30094
26091,30090
26080,30090
26085,30095
26091,30101
26090,30105
26093,30108
26088,30107
26089,30109
26097,30118
26095,30122
26095,30120
26094,30113
26094,30116
26094,30114
26093,30111
26095,30113
26094,30116
26095,30110
26090,30116
26091,30117
26090,30118
26093,30125
26093,30126
26102,30129
26097,30133
26104,30136
26100,30135
26099,30135
26100,30142
26109,30145
26107,30149
26110,30148
26106,30151
26107,30159
26110,30158
26105,30158
26110,30161
26108,30162
26107,30165
26113,30172
26114,30171
26117,30174
26113,30173
26111,30174
26119,30177
26116,30187
26118,30190
26118,30187
26112,30183
26112,30195
26124,30191
26128,30195
26117,30195
26121,30201
26123,30204
26125,30210
26127,30207
26129,30216
26126,30216
26129,30216
26127,30215
26133,30226
26136,30224
