RED,IR
74770,106890
74838,106918
74784,106957
74821,106906
74801,106929
74827,106886
74799,106941
74808,106950
74799,106914
74802,106937
74800,106909
74812,106902
74777,106953
74786,106885
74791,106937
74800,106879
74800,106870
74775,106954
74808,106887
74824,106913
74831,106885
74796,106910
74737,106908
74798,106861
74811,106909
74824,106876
74796,106952
74797,106899
74820,106928
74764,106879
74841,106876
74776,106963
74792,106888
74804,106871
74803,106888
74827,106906
74780,106941
74774,106878
74836,106827
74813,106922
74799,106914
74792,106907
74803,106879
74785,106907
74811,106875
74843,106909
74784,106926
74833,106905
74819,106908
74765,106878
74811,106875
74787,106931
74851,106877
74800,106896
74767,106883
74832,106896
74798,106933
74856,106881
74796,106891
74751,106898
74823,106876
74777,106935
74853,106880
74814,106911
74822,106911
74793,106926
74817,106885
74833,106837
74802,106920
74826,106918
74802,106919
74835,106890
74789,106835
74820,106911
74785,106901
74800,106906
74829,106915
74828,106840
74787,106927
74844,106911
74832,106940
74868,106871
74823,106920
74846,106903
74793,106865
74793,106909
74870,106863
74819,106945
74839,106914
74817,106924
74810,106887
74875,106862
74822,106972
74867,106908
74814,106911
74802,106898
74880,106872
74814,106980
74864,106907
74824,106921
74812,106874
74846,106869
74795,106945
74850,106882
74840,106959
74851,106869
74850,106938
74829,106915
74810,106920
74861,106929
74863,106882
74849,106896
74821,106917
74856,106905
74851,106921
74815,106889
74872,106882
74814,106956
74887,106899
74866,106926
74867,106905
74832,106928
74778,106906
74868,106840
74845,106909
74891,106937
74832,106960
74855,106908
74864,106934
74803,106882
74868,106901
74834,106968
74885,106917
74855,106928
74799,106908
74883,106929
74843,106904
74825,106898
74857,106928
74854,106958
74893,106974
74794,106916
74900,106869
74864,106950
74892,106934
74857,106968
74884,106912
74877,106953
74831,106918
74884,106925
74864,106997
74895,106913
74879,106940
74827,106917
74931,106952
74841,106966
74904,106933
74887,106930
74826,106934
74884,106922
74841,106961
74927,106914
74895,106966
74902,106947
74864,106964
74867,106927
74914,106883
74871,106915
74900,106946
74847,106933
74885,106954
74913,106897
74908,106955
74914,106936
74869,106971
74911,106927
74912,106877
74885,106978
74931,106969
74882,106978
74936,106941
74904,106943
74914,106951
74898,106942
74868,106938
74958,106913
74888,106985
74921,106958
74879,106968
74873,106937
74967,106894
74896,106987
74945,106950
74882,106967
74874,106932
74956,106904
74915,107007
74927,106964
74900,106960
74964,106948
74869,106932
74939,106986
74916,107000
74912,106933
74963,106936
74926,106988
74944,106964
74900,106971
74893,106955
74992,106944
74954,106997
74955,106977
74901,106937
74947,106959
74977,106934
74935,107014
74931,106958
74937,106898
74941,106979
75005,106924
74947,107026
74983,106959
74945,106995
75005,106946
74962,106987
74918,106984
74972,106935
74978,107006
75016,106942
74954,106994
74913,107001
75009,106946
75007,106956
74962,106975
75002,107037
75000,106983
75015,106968
75017,107002
75019,106967
74967,107022
74964,106983
75000,106948
74964,106963
75005,106943
74983,107037
75027,106993
75005,107015
75019,106970
74994,106978
74977,107022
75006,106979
75017,107016
75007,106957
75010,106967
74996,107037
75032,106994
75025,107024
75018,106982
74999,106977
74998,107003
75068,106985
75025,107034
75041,106987
75011,107050
74990,106996
75048,106981
74991,106987
74996,107044
75046,107062
75007,107028
74991,107001
75066,106961
75027,107044
75039,106997
75004,106972
75017,107004
75074,106990
75025,107064
75036,106994
75037,107042
75046,106978
75023,106957
74991,107010
75048,106987
75048,107051
75070,106983
75024,107060
75025,106996
75050,106957
75056,107042
75074,106981
75012,107060
74980,107003
75079,107004
75072,107036
75011,107050
75099,107000
75076,107002
75033,107007
75053,107027
75043,106989
75070,107011
75025,107019
74988,107002
75091,106971
75036,107033
75073,107030
75019,107053
75035,106991
75080,106957
75043,107039
75101,107035
75044,107038
75001,107006
75132,106984
75043,107051
75063,107022
75045,107029
75064,106989
75076,106944
75021,107034
75095,107016
75046,107054
75105,107001
75064,107032
75078,107022
75044,107016
75039,107018
75099,107000
75057,107013
75059,106993
75087,107016
75084,107035
75096,106977
75060,107020
75040,107022
75093,106987
75111,107051
75091,106992
75061,107065
75046,107029
75059,106944
75073,107003
75115,106964
75073,107077
75110,107023
75078,107054
75139,106997
75076,106982
75052,107062
75105,107011
75076,107026
75067,107008
75123,106996
75076,107080
75076,107014
75107,107020
75093,107002
75079,106992
75036,107039
75068,106994
75095,106977
75114,107003
75077,107032
75069,107029
75150,106986
75116,107058
75129,107017
75093,107064
75030,107011
75150,106999
75127,107045
75127,107011
75090,107059
75043,107002
75158,107013
75088,107054
75141,107030
75097,107067
75092,107022
75143,106979
75072,107024
75150,107025
75078,107087
75142,107022
75120,107065
75122,107023
75089,107042
75067,107024
75161,107036
75129,107034
75101,107040
75096,107029
75054,107014
75161,107023
75114,107028
75118,107079
75147,107018
75095,107065
75167,107032
75090,107052
75118,107057
75094,106997
75074,107040
75175,107008
75117,107085
75145,107064
75108,107071
75117,107029
75160,106971
75120,107113
75155,107050
75122,107054
75084,107026
75152,106983
75105,107097
75154,107023
75106,107078
75131,107019
75129,106982
75064,107070
75140,107027
75118,107079
75170,107022
75125,107034
75102,107024
75105,107053
75116,107034
75152,107037
75099,107063
75150,107036
75089,107059
75123,107018
75138,106961
75087,107097
75130,107029
75101,107053
75139,107005
75105,106999
75060,107050
75126,107013
75129,107076
75142,107014
75109,107072
75095,107032
75075,107035
75057,106998
75144,106983
75066,107074
75112,107024
75066,107011
75070,107003
75123,107008
75061,107065
75075,107003
75073,107002
75045,106970
75085,106993
75048,107040
75022,107028
75152,107037
75025,106962
75059,106948
75004,107017
75063,106987
75049,107017
75054,106968
75005,107015
74957,106986
75037,106959
75015,106997
75003,106950
74981,106929
74947,107020
75016,106946
74972,106984
74989,106949
74950,106975
74897,106936
75011,106946
74944,106992
74973,106970
74917,106985
74936,106911
74957,106972
74899,106909
74918,106907
74886,106974
74934,106923
74897,106919
74889,106866
74854,106943
74869,106917
74914,106888
74884,106906
74829,106919
74893,106904
74844,106944
74897,106894
74837,106901
74806,106913
74809,106841
74797,106884
74888,106866
74801,106886
74836,106891
74781,106867
74741,106882
74861,106854
74788,106889
74781,106865
74766,106807
74768,106884
74811,106827
74761,106886
74752,106851
74745,106781
74750,106855
74778,106814
74753,106887
74708,106832
74715,106803
74756,106813
74738,106806
74718,106817
74732,106806
74711,106839
74694,106791
74732,106760
74716,106879
74711,106806
74711,106795
74674,106785
74725,106798
74691,106848
74697,106768
74703,106796
74644,106780
74706,106788
74658,106820
74703,106780
74693,106804
74698,106781
74665,106833
74628,106767
74689,106712
74666,106799
74671,106772
74637,106826
74590,106771
74704,106755
74656,106802
74653,106778
74647,106790
74620,106793
74689,106795
74637,106746
74679,106783
74634,106811
74675,106744
74661,106779
74621,106738
74630,106749
74575,106769
74696,106754
74643,106783
74645,106776
74636,106790
74597,106752
74687,106747
74636,106791
74620,106773
74635,106712
74630,106799
74672,106738
74636,106753
74629,106774
74607,106722
74587,106749
74670,106733
74614,106786
74645,106775
74614,106776
74656,106802
74589,106783
74624,106725
74602,106785
74634,106764
74598,106738
74631,106791
74598,106722
74653,106741
74612,106810
74653,106753
74638,106757
74585,106720
74660,106758
74601,106793
74650,106747
74621,106758
74627,106748
74617,106778
74546,106740
74663,106714
74626,106755
74647,106760
74618,106796
74612,106749
74642,106701
74591,106754
74658,106764
74602,106778
74584,106734
74672,106679
74623,106788
74651,106764
74638,106783
74645,106772
74646,106703
74613,106737
74596,106793
74602,106749
74679,106726
74630,106771
74650,106757
74605,106769
74572,106720
74671,106711
74610,106786
74645,106750
74621,106762
74591,106730
74676,106741
74613,106788
74631,106752
74610,106727
74602,106730
74678,106722
74610,106802
74635,106762
74608,106778
74660,106737
74629,106775
74619,106750
74613,106705
74614,106760
74684,106740
74627,106777
74638,106772
74632,106759
74631,106716
74664,106753
74624,106714
74655,106757
74605,106772
74609,106748
74683,106705
74629,106797
74659,106770
74632,106773
74685,106766
74644,106758
74642,106784
74636,106718
74621,106762
74712,106733
74620,106774
74648,106767
74625,106729
74634,106778
74698,106725
74636,106792
74633,106764
74657,106708
74658,106811
74669,106728
74641,106791
74638,106763
74640,106697
74632,106767
74671,106738
74669,106778
74639,106805
74647,106775
74684,106738
74591,106729
74672,106744
74624,106807
74683,106744
74652,106768
74596,106755
74681,106775
74649,106781
74700,106731
74648,106729
74604,106784
74693,106745
74644,106790
74695,106749
74649,106767
74672,106783
74637,106783
74664,106738
74674,106698
74618,106758
74690,106772
74644,106778
74681,106752
74672,106700
74638,106776
74668,106770
74646,106774
74683,106773
74686,106753
74686,106757
74643,106762
74652,106808
74661,106735
74663,106700
74625,106780
74690,106747
74655,106793
74707,106731
74650,106798
74678,106764
74634,106733
74638,106741
74704,106736
74673,106806
74666,106753
74657,106691
74660,106772
74701,106723
74654,106786
74621,106748
